artifact,scope_images,review_resolution,reviewer,review_date,status,notes
synthetic/v3_conditions/contact_sheet.jpg,42,224px overview,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"7 classes x 6 condition profiles; condition differences visible and no geometry drift observed"
synthetic/v3_conditions/annotations/contact_sheets/scratch_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"all condition variants visible; no new defect morphology introduced"
synthetic/v3_conditions/annotations/contact_sheets/scratch_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/surface_spot_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"spot remains visible under exposure and color-temperature changes"
synthetic/v3_conditions/annotations/contact_sheets/surface_spot_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/discoloration_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"discoloration remains visible; white-balance limits prevent label erasure"
synthetic/v3_conditions/annotations/contact_sheets/discoloration_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/contamination_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"contamination shapes remain unchanged and visible"
synthetic/v3_conditions/annotations/contact_sheets/contamination_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/lead_breakage_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"missing lead remains visible; low-exposure strength is conservatively limited"
synthetic/v3_conditions/annotations/contact_sheets/lead_breakage_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/body_chip_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"edge material-loss geometry remains unchanged and visible"
synthetic/v3_conditions/annotations/contact_sheets/body_chip_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
synthetic/v3_conditions/annotations/contact_sheets/body_crack_raw_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"crack geometry remains unchanged and visible"
synthetic/v3_conditions/annotations/contact_sheets/body_crack_overlay_144_at_160.jpg,144,160px full sheet,OpenAI Codex,2026-08-31,PASS_VISUAL_QA,"mask alignment retained across all six condition profiles"
